E,N
100.0,0.0
100.0,10.0
98.0,20.0
96.0,29.0
92.0,38.0
88.0,47.0
83.0,56.0
77.0,63.0
71.0,71.0
63.0,77.0
56.0,83.0
47.0,88.0
38.0,92.0
29.0,96.0
20.0,98.0
10.0,100.0
0.0,100.0
-10.0,100.0
-20.0,98.0
-29.0,96.0
-38.0,92.0
-47.0,88.0
-56.0,83.0
-63.0,77.0
-71.0,71.0
-77.0,63.0
-83.0,56.0
-88.0,47.0
-92.0,38.0
-96.0,29.0
-98.0,20.0
-100.0,10.0
-100.0,0.0
-100.0,-10.0
-98.0,-20.0
-96.0,-29.0
-92.0,-38.0
-88.0,-47.0
-83.0,-56.0
-77.0,-63.0
-71.0,-71.0
-63.0,-77.0
-56.0,-83.0
-47.0,-88.0
-38.0,-92.0
-29.0,-96.0
-20.0,-98.0
-10.0,-100.0
-0.0,-100.0
10.0,-100.0
20.0,-98.0
29.0,-96.0
38.0,-92.0
47.0,-88.0
56.0,-83.0
63.0,-77.0
71.0,-71.0
77.0,-63.0
83.0,-56.0
88.0,-47.0
92.0,-38.0
96.0,-29.0
98.0,-20.0
100.0,-10.0
